Prompt	Decay [400nm]	Decay [404nm]	Decay [408nm]	Decay [412nm]	Decay [416nm]	Decay [420nm]	Decay [424nm]	Decay [428nm]	Decay [432nm]	Decay [436nm]	Decay [440nm]	Decay [444nm]	Decay [448nm]	Decay [452nm]	Decay [456nm]	Decay [460nm]	Decay [464nm]	Decay [468nm]	Decay [472nm]	Decay [476nm]	Decay [480nm]	Decay [484nm]	Decay [488nm]	Decay [492nm]	Decay [496nm]	Decay [500nm]	Decay [504nm]	Decay [508nm]	Decay [512nm]	Decay [516nm]	Decay [520nm]	Decay [524nm]	Decay [528nm]	Decay [532nm]	Decay [536nm]	Decay [540nm]	Decay [544nm]	Decay [548nm]	Decay [552nm]	Decay [556nm]	Decay [560nm]	Decay [564nm]	Decay [568nm]	Decay [572nm]	Decay [576nm]	Decay [580nm]	Decay [584nm]	Decay [588nm]	Decay [592nm]	Decay [596nm]	Decay [600nm]	Decay [604nm]	Decay [608nm]	Decay [612nm]	Decay [616nm]	Decay [620nm]	Decay [624nm]	Decay [628nm]	Decay [632nm]	Decay [636nm]	Decay [640nm]	Decay [644nm]	Decay [648nm]	Decay [652nm]	Decay [656nm]	Decay [660nm]	Decay [664nm]	Decay [668nm]	Decay [672nm]	Decay [676nm]	Decay [680nm]	Decay [684nm]	Decay [688nm]	Decay [692nm]	Decay [696nm]	Decay [700nm]	Decay [704nm]	Decay [708nm]
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	1	1	2	3	4	4	1	3	6	1	0	2	2	1	2	0	2	1	2	1	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	5	2	0	0	4	1	1	5	5	2	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	1	2	3	1	1	2	3	5	2	1	1	1	2	4	2	2	3	2	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	3	3	3	5	1	1	4	5	3	2	2	2	0	1	0	2	5	0	1	1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	3	2	1	3	2	3	3	3	3	3	1	2	1	3	1	4	1	4	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0
0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	4	4	5	2	4	2	6	1	2	1	3	3	0	0	2	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	4	2	0	1	2	4	3	1	0	5	2	2	1	3	2	1	0	2	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	3	3	1	4	2	1	3	3	3	2	1	2	1	0	3	1	1	0	0	3	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	1	3	1	0	2	2	0	2	2	2	2	3	2	0	0	1	3	1	4	2	0	1	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	4	2	0	2	1	5	1	3	1	2	2	0	2	0	3	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
